本地菜品分类,淘点点分类ID
开胃凉菜（价格已包含一元打包费）,50024702
开胃凉菜（已包含一元打包费）,50024702
开胃小吃,50024702
开心乐园餐,50024702
开心一刻,50024702
烤鸡类,50024702
烤鸭（菜价已包含1元打包餐盒费）,50024702
烤鸭类,50024702
可有可无,50024702
客家菜,50024702
口味,50024702
腊味耗牛肉,50024702
腊味类,50024702
来自星星的炸鸡,50024702
捞汁系列,50024702
老北京菜,50024702
老北京家常菜,50024702
老北京开胃凉菜,50024702
老北京农家粉蒸,50024702
老北京特色小吃,50024702
老北京系列,50024702
老北京镇店菜,50024702
老边饺子,50024702
老边招牌凉菜,50024702
老家柴锅菜,50024702
老味道厨师推荐菜,50024702
老味道燕鲍翅,50024702
榴莲,50024702
榴莲系列,50024702
六大特色,50024702
六元区,50024702
卤菜类,50024702
卤菜凉菜类,50024702
卤水篇,50024702
卤水烧腊篇,50024702
卤味,50024702
驴肉特色,50024702
绿茶传说,50024702
绿肥红瘦,50024702
绿色风味,50024702
绿色生态园,50024702
麻辣川湘,50024702
麻辣海鲜系列,50024702
麻辣涮锅,50024702
麻辣涮锅调料,50024702
麻辣烫伴侣荤菜,50024702
麻辣烫伴侣素菜,50024702
麻辣烫伴侣主食,50024702
麻辣烫料,50024702
麻辣味（微辣中辣特辣）,50024702
麻辣香锅（45元起做）,50024702
麻辣香锅（4份起）,50024702
麻辣香锅（4份起做）,50024702
麻辣香锅（已包含一元打包盒费用）,50024702
麻辣香锅系列,50024702
麻辣小龙虾,50024702
麻辣诱惑,50024702
冒菜类,50024702
冒菜香锅伴侣,50024702
每日特价,50024702
每天一套特价菜（对应星期提供菜品）,50024702
美点飘香,50024702
美点主食,50024702
美极卤味,50024702
美容养颜,50024702
美容养颜食谱,50024702
美食家常,50024702
美食类,50024702
美式大肉串（含一元打包费）,50024702
美式加州卷(8个）,50024702
美味炖菜,50024702
美味炖品,50024702
美味干锅,50024702
美味家常,50024702
美味酱料（必点，如购买两个以上，请备注对应酱料）,50024702
美味热菜,50024702
美味时蔬,50024702
美味香锅,50024702
美味湘菜篇,50024702
美味小菜,50024702
美味小吃/主食,50024702
美味小吃/主食+1元餐盒费,50024702
美味蒸菜,50024702
美味主食,50024702
美艳蒸菜,50024702
焖、炖篇,50024702
焖锅,50024702
焖锅类,50024702
焖炉烤鸭,50024702
沔阳蒸菜,50024702
闽南菜,50024702
名厨推荐,50024702
明炉沙煲,50024702
明炉烧味,50024702
明爐沙煲,50024702
明星菜品,50024702
默认,50024702
慕斯蛋糕（蛋糕，需提前1天预订）,50024702
拿铁,50024702
拿铁系列,50024702
男性食谱,50024702
南北风味,50024702
南北风味（菜价已包含1元打包餐盒费）,50024702
南北主食（无折扣）,50024702
内蒙呼市特色美食,50024702
内蒙特色烩菜火锅系列,50024702
捏寿司,50024702
牛、羊肉类,50024702
牛扒,50024702
牛丼,50024702
牛排,50024702
牛排/猪排/羊排/鸡排,50024702
牛排海鲜类,50024702
牛肉类,50024702
牛肉篇,50024702
牛肉馅,50024702
牛羊猪肉,50024702
农家炖锅,50024702
农家铁板,50024702
农家主食,50024702
浓浓生滚粥,50024702
暖冬风情,50024702
暖胃健脾,50024702
欧式类,50024702
欧式慕斯方形类,50024702
排挡热菜,50024702
排毒养生,50024702
泡椒风味,50024702
泡椒系列（已包含一元打包费）,50024702
配菜小吃,50024702
配餐,50024702
